統計期,全般刑法,治安相關,普通刑法,賭博,毒品,交通事故,酒駕
110年 4月,343,109,290,1,46,729,129
110年 5月,310,102,234,6,46,653,63
110年 6月,331,127,223,1,29,495,8
110年 7月,274,90,204,2,26,568,20
110年 8月,419,145,313,2,67,664,80
110年 9月,299,91,215,2,55,705,87
110年 10月,330,127,252,1,47,792,79
110年 11月,407,135,330,8,49,754,76
110年 12月,414,193,351,0,24,854,60
111年 1月,300,90,239,16,40,737,119
111年 2月,289,87,222,5,45,603,80
111年 3月,342,101,282,8,49,810,85
111年 4月,384,134,297,3,45,661,66
111年 5月,427,168,334,2,36,667,63
111年 6月,225,84,180,0,29,700,48
111年 7月,341,102,229,1,43,747,116
111年 8月,403,111,289,0,48,786,111
111年 9月,258,78,202,11,27,747,100
111年 10月,349,139,298,2,33,882,140
111年 11月,374,136,309,5,26,846,105
111年 12月,476,225,395,2,37,940,65
112年 1月,325,95,276,9,36,727,131
112年 2月,365,118,285,7,53,709,88
112年 3月,857,349,697,3,41,884,130
112年 4月,387,111,273,4,30,737,118
112年 5月,421,184,327,1,33,750,106
112年 6月,359,126,276,1,27,819,107
112年 7月,441,117,330,5,43,814,145
112年 8月,509,172,378,3,51,795,135
112年 9月,348,102,242,8,37,744,93
112年 10月,462,135,342,2,48,791,97
112年 11月,463,143,323,1,64,799,109
112年 12月,423,162,326,9,33,828,79
113年 1月,428,161,335,8,26,833,73
113年 2月,260,73,186,7,38,660,80
113年 3月,492,213,375,2,63,797,58
113年 4月,546,193,393,5,70,0,89
